cycle,branch,expression,forecastdate,seatprob_Dparty,seatprob_Rparty,seatsheld,simulations,timestamp,chamber_Dparty,chamber_Rparty
2020,Senate,_lite,11/2/20,,,99,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,98,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,97,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,96,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,95,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,94,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,93,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,92,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,91,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,90,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,9,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,89,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,88,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,87,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,86,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,85,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,84,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,83,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,82,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,81,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,80,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,8,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,79,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,78,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,77,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,76,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,75,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,74,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,73,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,72,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,71,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,70,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,7,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,69,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,68,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.000025,,67,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.00005,,66,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0001,,65,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.000175,,64,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0005,,63,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0018,.000025,62,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.00535,.00005,61,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.01075,,60,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,6,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.01995,.000125,59,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.03305,.00045,58,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.048875,.0013,57,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.06325,.00465,56,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.080275,.0088,55,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.096675,.018875,54,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.106925,.037175,53,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.110075,.060375,52,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.106775,.085675,51,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0979,.0979,50,40000,20:52:33  2 Nov 2020,.08685,.01105
2020,Senate,_lite,11/2/20,,,5,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.085675,.106775,49,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.060375,.110075,48,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.037175,.106925,47,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.018875,.096675,46,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0088,.080275,45,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.00465,.06325,44,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.0013,.048875,43,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.00045,.03305,42,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.000125,.01995,41,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.01075,40,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,4,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.00005,.00535,39,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,.000025,.0018,38,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.0005,37,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.000175,36,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.0001,35,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.00005,34,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,.000025,33,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,32,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,31,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,30,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,3,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,29,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,28,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,27,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,26,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,25,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,24,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,23,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,22,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,21,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,20,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,2,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,19,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,18,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,17,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,16,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,15,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,14,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,13,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,12,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,11,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,100,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,10,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,1,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/2/20,,,0,40000,20:52:33  2 Nov 2020,,
2020,Senate,_lite,11/1/20,,,99,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,98,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,97,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,96,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,95,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,94,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,93,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,92,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,91,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,90,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,9,40000,23:31:42  1 Nov 2020,,
2020,Senate,_lite,11/1/20,,,89,40000,23:31:42  1 Nov 2020,,
